guide_type,event_category,event _name,event _description,event_dates,event_location
Events,Cultural & Arts Events,Back to the Future - The Musical,"A theatrical adaptation of the classic 80s film, following Marty McFly's time-traveling adventures.","February 12-28, 2025",Orpheum Theatre
Events,Cultural & Arts Events,Ain't Too Proud - The Life and Times of the Temptations,"A musical showcasing the journey of The Temptations, from their humble beginnings to fame.",Dates TBA,Golden Gate Theatre
Events,Cultural & Arts Events,Annie,"The beloved story of Little Orphan Annie, bringing hope and adventure to the stage.","February 6-9, 2025",Orpheum Theatre
Events,Cultural & Arts Events,SF Sketchfest,"An annual comedy festival featuring stand-up, improv, and sketch comedy performances.","January 25 - February 10, 2025",Various Venues
Events,Cultural & Arts Events,Chinese Lunar New Year Parade,"A vibrant parade celebrating the Lunar New Year with floats, dragon dances, and cultural performances.","February 15, 2025",Chinatown
Events,Food & Drink Experiences,SF Beer Week,"A week-long celebration featuring craft beer tastings, brewery tours, and food pairings.","February 7-16, 2025",Various Breweries
Events,Food & Drink Experiences,Eat Drink SF,San Francisco's premier food and drink festival showcasing local chefs and mixologists.,August 2025 (Exact Dates TBA),Fort Mason Center
Events,Food & Drink Experiences,Uncorked Wine Festival,"A festival offering wine tastings from regional wineries, live music, and gourmet food vendors.",May 2025 (Exact Dates TBA),Ghirardelli Square
Events,Food & Drink Experiences,Chocolate Salon,"An event for chocolate enthusiasts featuring tastings, chef demos, and artisan chocolatiers.",March 2025 (Exact Dates TBA),Hotel Kabuki
Events,Food & Drink Experiences,Bay Area Brew Fest,"A festival with unlimited beer samplings from local and international breweries, accompanied by food trucks.",July 2025 (Exact Dates TBA),Pier 35
Events,Community & Social Gatherings,St. Patrick's Day Parade,"Annual parade celebrating Irish culture with marching bands, dancers, and festive floats.","March 17, 2025",Market Street
Events,Community & Social Gatherings,Pride Parade and Celebration,"One of the world's largest LGBTQ+ celebrations featuring a parade, live performances, and community events.","June 28-29, 2025",Civic Center Plaza
Events,Community & Social Gatherings,Folsom Street Fair,"The world's largest leather and fetish event, featuring live music, vendors, and demonstrations.","September 21, 2025",Folsom Street
Events,Community & Social Gatherings,Castro Street Fair,"A community street festival with live entertainment, arts and crafts vendors, and food stalls.","October 5, 2025",Castro District
Events,Community & Social Gatherings,North Beach Festival,"One of the country's oldest street fairs, featuring arts and crafts booths, live music, and Italian cuisine.","June 13-14, 2025",North Beach
Events,Outdoor & Wellness Activities,Bay to Breakers,"An annual footrace known for its colorful costumes and festive atmosphere, spanning 12 kilometers across the city.","May 18, 2025",Howard Street to Ocean Beach
Events,Outdoor & Wellness Activities,Escape from Alcatraz Triathlon,"A challenging triathlon featuring a swim from Alcatraz Island, a bike ride, and a run through San Francisco.","June 7, 2025",Marina Green
Events,Outdoor & Wellness Activities,Yoga in the Park,"Free outdoor yoga sessions held weekly, promoting wellness and community engagement.",Every Saturday (February - December 2025),Golden Gate Park
Events,Outdoor & Wellness Activities,Sunday Streets,"Monthly events closing off streets to cars, encouraging walking, biking, and community activities.",Monthly (Dates Vary),Various Neighborhoods
Events,Outdoor & Wellness Activities,San Francisco Marathon,A full marathon showcasing the city's iconic landmarks and scenic views.,"July 26, 2025",Embarcadero
