guide_type,hotel_Name,hotel_Description,hotel_Address,hotel_Price per Night ($),hotel_Rating,hotel_Website,hotel_Price Category
Hotel,European Hostel,A budget-friendly hostel offering basic accommodations in a central location.,"761 Minna Street, San Francisco, CA",$23–$100,4.7/10,https://www.momondo.com/hotels/san-francisco/European-Hostel.mhd144618.ksp,Budget
Hotel,Music City Hotel,A hostel and hotel hybrid featuring music-themed rooms and shared facilities.,"1353 Bush Street, San Francisco, CA",$36–$100,8.1/10,https://www.momondo.com/hotels/san-francisco/Music-City-Hotel-Home-Of-The-San-Francisco-Music-Hall-Of-Fame.mhd144620.ksp,Budget
Hotel,Amsterdam Hostel,A simple hostel offering dormitory and private rooms near Union Square.,"749 Taylor Street, San Francisco, CA",$33–$100,7.5/10,https://www.momondo.com/hotels/san-francisco/Amsterdam-Hostel.mhd144619.ksp,Budget
Hotel,Orange Village Hostel,A centrally located hostel with both private and shared rooms.,"411 O'Farrell Street, San Francisco, CA",$38–$100,7.8/10,https://www.momondo.com/hotels/san-francisco/Orange-Village-Hostel.mhd144621.ksp,Budget
Hotel,HI San Francisco Fisherman's Wharf Hostel,A hostel offering budget accommodations with views of the bay.,"240 Fort Mason, San Francisco, CA",$34–$100,8.3/10,https://www.momondo.com/hotels/san-francisco/HI-San-Francisco-Fisherman-s-Wharf-Hostel.mhd144622.ksp,Budget
Hotel,Samesun San Francisco,A hostel providing shared and private rooms in a convenient location.,"1475 Lombard Street, San Francisco, CA",$44–$100,8.4/10,https://www.momondo.com/hotels/san-francisco/Samesun-San-Francisco.mhd144623.ksp,Budget
Hotel,Casa Loma Hotel,A budget hotel offering basic rooms with shared bathrooms.,"610 Fillmore Street, San Francisco, CA",$62–$100,7.4/10,https://www.expedia.com/San-Francisco-Hotels-Casa-Loma-Hotel.h2534370.Hotel-Information,Budget
Hotel,Grant Plaza Hotel,A simple hotel located near Chinatown offering basic amenities.,"465 Grant Avenue, San Francisco, CA",$87–$100,7.2/10,https://www.expedia.com/San-Francisco-Hotels-Grant-Plaza-Hotel.h2534371.Hotel-Information,Budget
Hotel,Hotel Stratford,A budget-friendly hotel located near Union Square.,"242 Powell Street, San Francisco, CA",$89–$100,8.0/10,https://www.expedia.com/San-Francisco-Hotels-Hotel-Stratford.h2534372.Hotel-Information,Budget
Hotel,Francisco Bay Inn,A motel offering basic accommodations with free parking.,"1501 Lombard Street, San Francisco, CA",$95–$100,8.4/10,https://www.expedia.com/San-Francisco-Hotels-Francisco-Bay-Inn.h2534373.Hotel-Information,Budget
Hotel,Alpine Inn & Suites,A budget-friendly hotel offering comfortable rooms with modern amenities.,"560 Carter Street, San Francisco, CA",$63–$100,7.2/10,https://www.expedia.com/San-Francisco-Hotels-Alpine-Inn-And-Suites.h2534374.Hotel-Information,Budget
Hotel,Civic Center Motor Inn,A motel offering basic accommodations with free parking.,"364 9th Street, San Francisco, CA",$60–$100,7.0/10,https://www.expedia.com/San-Francisco-Hotels-Civic-Center-Motor-Inn.h2534375.Hotel-Information,Budget
Hotel,SF Central Hotel,A centrally located hotel offering basic accommodations.,"1707 Market Street, San Francisco, CA",$56–$100,6.0/10,https://www.expedia.com/San-Francisco-Hotels-SF-Central-Hotel.h2534376.Hotel-Information,Budget
Hotel,Travelodge by Wyndham San Francisco Airport North,A budget hotel offering basic accommodations with free parking.,"326 S Airport Blvd, South San Francisco, CA",$52–$100,6.0/10,https://www.expedia.com/San-Francisco-Hotels-Travelodge-By-Wyndham-San-Francisco-Airport-North.h2534377.Hotel-Information,Budget
Hotel,Park Pointe Hotel,A budget hotel offering basic accommodations with free parking.,"245 S Airport Blvd, South San Francisco, CA",$63–$100,5.6/10,https://www.expedia.com/San-Francisco-Hotels-Park-Pointe-Hotel.h2534378.Hotel-Information,Budget
Hotel,Union Hotel,A budget hotel offering basic accommodations with shared bathrooms.,"2030 Mission Street, San Francisco, CA",$56–$100,6.8/10,https://www.momondo.com/hotels/san-francisco/Union-Hotel.mhd144624.ksp,Budget
Hotel,1906 Mission,A budget hotel offering basic accommodations with shared bathrooms.,"1906 Mission Street, San Francisco, CA",$62–$100,7.3/10,https://www.momondo.com/hotels/san-francisco/1906-Mission.mhd144625.ksp,Budget
Hotel,Hotel Sunrise,A budget hotel offering basic accommodations with shared bathrooms.,"447 Valencia Street, San Francisco, CA",$77–$100,6.2/10,https://www.momondo.com/hotels/san-francisco/Hotel-Sunrise.mhd144626.ksp,Budget
Hotel,Hotel Zeppelin,A rock’n’roll-themed hotel featuring unique decor and a game room.,"545 Post St, San Francisco, CA",$169–$250,8.0/10,https://www.nymag.com/urbanist/the-best-hotels-in-san-francisco-for-every-budget.html,Mid-Range
Hotel,The Laurel Inn,A stylish hotel offering comfortable accommodations in a residential neighborhood.,"444 Presidio Ave, San Francisco, CA",$179–$260,8.0/10,https://www.nymag.com/urbanist/the-best-hotels-in-san-francisco-for-every-budget.html,Mid-Range
Hotel,Galleria Park Hotel,Boutique hotel with a rooftop garden and modern amenities.,"191 Sutter St, San Francisco, CA",$200–$300,9.0/10,https://www.timeout.com/san-francisco/hotels/cheap-hotels-in-san-francisco,Mid-Range
Hotel,Noe's Nest Bed and Breakfast,Charming B&B located in the vibrant Mission District.,"1257 Guerrero St, San Francisco, CA",$180–$250,9.0/10,https://www.timeout.com/san-francisco/hotels/cheap-hotels-in-san-francisco,Mid-Range
Hotel,Marines' Memorial Club & Hotel,Historic hotel with military-themed decor and amenities.,"609 Sutter St, San Francisco, CA",$190–$270,9.0/10,https://www.timeout.com/san-francisco/hotels/cheap-hotels-in-san-francisco,Mid-Range
