guide_type,nightspots_type,nightspots_name,nightspots_description,nightspots_location,nightspots_highlight
Nightspots,Club,DNA Lounge,"A multifaceted venue featuring DJ dancing, live music, and burlesque performances across multiple dance floors and stages.",375 Eleventh Street,Known for its diverse events and late-night offerings.
Nightspots,Club,Temple Nightclub,"A high-energy club with immersive lighting and renowned DJs, offering a luxurious nightlife experience.",540 Howard Street,Ideal for those seeking a premium clubbing atmosphere.
Nightspots,Bar,El Rio,"A neighborhood bar celebrated for its inclusive environment, live music, and vibrant Salsa Sundays.",3158 Mission Street,Popular for its LGBTQ+ friendly events and community fundraisers.
Nightspots,Club,The EndUp,An iconic after-hours club known for its diverse music genres and legendary Sunday morning tea dances.,401 6th Street,Perfect for night owls looking to dance into the early hours.
Nightspots,Club,Cat Club,"Features two dance floors and a go-go cage, with music ranging from '80s hits to goth and new wave.",1190 Folsom Street,Great for fans of retro and alternative dance music.
Nightspots,Bar,Vesuvio Cafe,"A historic bar known for its Beat Generation legacy, offering a cozy atmosphere with eclectic decor.",255 Columbus Avenue,Ideal for literary enthusiasts and those seeking a classic San Francisco bar experience.
Nightspots,Club,Audio,"A club boasting a state-of-the-art sound system and a focus on electronic dance music, providing an immersive auditory experience.",316 11th Street,Perfect for EDM fans seeking high-quality sound and performances.
Nightspots,Bar,Tonga Room & Hurricane Bar,"A tiki-themed bar offering tropical cocktails and live music, set in a unique setting with periodic indoor rainstorms.",950 Mason Street,Known for its kitschy decor and fun atmosphere.
Nightspots,Club,The Great Northern,"A spacious venue hosting a variety of events, from dance parties to live performances, with impressive lighting and sound systems.",119 Utah Street,Suitable for those seeking diverse nightlife events in a large setting.
Nightspots,Bar,Cityscape Bar & Lounge,"Offers panoramic 360-degree views of the city from the 46th floor, along with a selection of fine wines and cocktails.",333 O'Farrell Street,Ideal for a sophisticated night out with stunning city views.
Nightspots,Club,Halcyon,"A modern club known for its underground house and techno music, featuring international DJs and a sleek design.",314 11th Street,Perfect for fans of electronic music seeking an upscale clubbing experience.
Nightspots,Bar,Smuggler's Cove,"A pirate-themed bar specializing in rum-based cocktails, boasting an extensive menu in a cozy, dimly lit setting.",650 Gough Street,Great for rum enthusiasts and those seeking a unique themed bar experience.
Nightspots,Club,715 Harrison,"Hosts various themed nights, including the long-running ""City Nights"" catering to the 18+ crowd with hip-hop and Top 40 hits.",715 Harrison Street,Known for its energetic dance floors and young crowd.
Nightspots,Bar,620 Jones,"A rooftop bar offering a spacious patio with lush greenery, serving craft cocktails and light bites.",620 Jones Street,Ideal for open-air drinks in a garden-like setting.
Nightspots,Club,Monarch,"Combines a lounge, nightclub, and live music venue, featuring a vintage-inspired decor with modern sound systems.",101 6th Street,Suitable for those seeking a blend of sophistication and vibrant nightlife.
