guide_type,hidden_gem_category,hidden_gem_name,hidden_gem_description
Hidden Gem,Nature & Scenic Views,Mount Sutro Open Space Reserve,"A misty, lush forest in the middle of SF with hidden trails."
Hidden Gem,Nature & Scenic Views,Tank Hill,"A small hill with panoramic views, offering a quieter alternative to Twin Peaks."
Hidden Gem,Nature & Scenic Views,Grandview Park & Mosaic Stairway,A short but rewarding hike with a breathtaking 360-degree view.
Hidden Gem,Nature & Scenic Views,Lands End Labyrinth,"A hidden stone maze with an epic ocean view, near the Lands End Trail."
Hidden Gem,Nature & Scenic Views,Fort Funston,A lesser-known coastal area with dramatic cliffs and hang gliders.
Hidden Gem,Food & Drink,Sotto Mare,A cozy North Beach seafood spot known for its 'best damn cioppino' in town.
Hidden Gem,Food & Drink,The Hidden Vine,A tucked-away wine bar with a charming atmosphere and bocce ball court.
Hidden Gem,Food & Drink,Devil's Teeth Baking Company,Known for their legendary breakfast sandwich.
Hidden Gem,Food & Drink,Burma Superstar's Takeout Spot,The hole-in-the-wall version of the famous restaurant with shorter wait times.
Hidden Gem,Food & Drink,Arsicault Bakery,Tiny bakery with some of the best croissants in SF.
Hidden Gem,Cultural & Historical Spots,Wave Organ,A unique wave-activated sound sculpture on the waterfront.
Hidden Gem,Cultural & Historical Spots,Balmy Alley Murals,A vibrant alleyway showcasing SF's deep-rooted street art scene.
Hidden Gem,Cultural & Historical Spots,The Tonga Room & Hurricane Bar,"A quirky, tiki-themed bar inside the Fairmont Hotel, featuring a live band playing on a floating boat."
Hidden Gem,Cultural & Historical Spots,16th Avenue Tiled Steps,A stunning mosaic staircase leading to a great viewpoint.
Hidden Gem,Cultural & Historical Spots,Musée Mécanique,A nostalgic arcade museum filled with vintage coin-operated games.
Hidden Gem,Local Shopping & Oddities,Paxton Gate,"A shop filled with quirky taxidermy, plants, and odd curiosities."
Hidden Gem,Local Shopping & Oddities,Omnivore Books,"A bookstore dedicated entirely to cookbooks, from vintage to modern."
Hidden Gem,Local Shopping & Oddities,Alley Cat Books & Gallery,A hidden bookstore with a cozy reading space and rotating art exhibits.
Hidden Gem,Local Shopping & Oddities,Stuff SF,A massive vintage store with everything from mid-century furniture to funky collectibles.
Hidden Gem,Local Shopping & Oddities,1AM Gallery,A hub for street art culture and workshops.
Hidden Gem,Unique Experiences,The Secret Slides at Seward Street,A pair of concrete slides hidden in a neighborhood park (bring cardboard to slide faster!).
Hidden Gem,Unique Experiences,The Chapel at St. Joseph’s Arts Society,"A stunning, repurposed church with art exhibits and events."
Hidden Gem,Unique Experiences,The Randall Museum,"A free museum with interactive exhibits on nature and science, plus a great view of the city."
Hidden Gem,Unique Experiences,Battery Spencer at Night,"While technically in Marin, it offers the most breathtaking night view of the Golden Gate Bridge."
Hidden Gem,Unique Experiences,The Vulcan Steps & Saturn Street Steps,Charming secret staircases hidden in SF's hills.
