guide_type,restaurant_name,restaurant_Type,restaurant_operating hours,restaurant_rating,restaurant_average cost per person,restaurant_price evaluation,restaurant_address
Restaurant,Vintage Café,Mexican,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,3.7,$25 - $40,Expensive,"955 Mission St, Nob Hill, San Francisco, CA"
Restaurant,Sunny Eats,Japanese,Daily: 10:00 am - 9:00 pm,4,$25 - $40,Moderate,"512 Broadway, Haight-Ashbury, San Francisco, CA"
Restaurant,Robin,French,Mon-Fri: 11:00 am - 10:00 pm; Sat-Sun: 9:00 am - 11:00 pm,4.5,$40 - $60,Very Expensive,"585 Chestnut St, Castro, San Francisco, CA"
Restaurant,Golden House,Greek,Tue-Sun: 5:00 pm - 10:00 pm; Mon: Closed,3.6,$40 - $60,Very Expensive,"725 Chestnut St, Potrero Hill, San Francisco, CA"
Restaurant,Golden Bistro,Greek,Daily: 10:00 am - 9:00 pm,3.6,$40 - $60,Inexpensive,"148 Van Ness Ave, Bernal Heights, San Francisco, CA"
Restaurant,Bayview Grill,Thai,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.5,$80 - $120,Expensive,"439 Broadway, Financial District, San Francisco, CA"
Restaurant,Sunny Diner,Korean,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,4.5,$60 - $80,Inexpensive,"936 Broadway, Potrero Hill, San Francisco, CA"
Restaurant,Tasty Bistro,Chinese,Mon-Sat: 12:00 pm - 12:00 am; Sun: 12:00 pm - 10:00 pm,3.8,$15 - $25,Moderate,"942 Union St, Potrero Hill, San Francisco, CA"
Restaurant,Luce,Chinese,Daily: 10:00 am - 9:00 pm,3.9,$60 - $80,Moderate,"903 Chestnut St, Pacific Heights, San Francisco, CA"
Restaurant,Urban Grill,Japanese,Daily: 10:00 am - 9:00 pm,4.4,$80 - $120,Expensive,"347 Van Ness Ave, Bernal Heights, San Francisco, CA"
