guide_type,culture_sites_name,culture_sites_category,culture_sites_description,culture_sites_address,culture_sites_website,culture_sites_opening_hours,culture_sites_admission_fees,culture_sites_tags,culture_sites_notable_events
culture sites,San Francisco Museum of Modern Art (SFMOMA),Museum,One of the largest museums dedicated to modern and contemporary art in the United States.,"151 3rd St, San Francisco, CA 94103",https://www.sfmoma.org,"Friday–Tuesday 10 a.m.–5 p.m., Thursday 1 p.m.–8 p.m., Closed Wednesdays",Adults: $25; Seniors (65+): $22; Ages 19–24: $19; 18 and under: Free,"Modern Art, Contemporary Art",Special exhibitions throughout the year
culture sites,Asian Art Museum,Museum,"Houses one of the world's most extensive collections of Asian art, spanning 6,000 years.","200 Larkin St, San Francisco, CA 94102",https://www.asianart.org,"Thursday 1 p.m.–8 p.m., Friday–Monday 10 a.m.–5 p.m., Closed Tuesdays and Wednesdays",Adults: $20; Seniors (65+): $17; Ages 13–17 and College Students: $14; 12 and under: Free,"Asian Art, Cultural Exhibitions",Rotating exhibitions and cultural events
culture sites,Ferry Plaza Farmers Market,Market,"Renowned farmers market offering a variety of local produce, meats, cheeses, and prepared foods.","1 Ferry Building, San Francisco, CA 94111",https://www.ferrybuildingmarketplace.com,"Tuesday & Thursday 10 a.m.–2 p.m., Saturday 8 a.m.–2 p.m.",Free,"Local Produce, Artisanal Foods",Seasonal festivals and chef demonstrations
culture sites,Minnesota Street Project,Art Gallery,Collaborative space housing multiple galleries showcasing contemporary art.,"1275 Minnesota St, San Francisco, CA 94107",https://minnesotastreetproject.com,Tuesday–Saturday 11 a.m.–6 p.m.,Free,"Contemporary Art, Collaborative Exhibitions",Hosts various gallery openings and art fairs
culture sites,Balmy Alley,Street Art,Famous alley featuring a concentrated collection of murals addressing social and political themes.,"Between 24th St & 25th St, San Francisco, CA 94110",https://www.precitaeyes.org,Open 24/7,Free,"Murals, Political Art",Mural tours and community events
culture sites,Precita Eyes Mural Arts and Visitors Center,Art Gallery,Community-based mural arts organization offering tours and art classes.,"2981 24th St, San Francisco, CA 94110",https://www.precitaeyes.org,"Tuesday–Saturday 11 a.m.–5 p.m., Sunday 12 p.m.–4 p.m.",Tour fees vary,"Mural Arts, Community Art",Hosts mural walks and art workshops
culture sites,Mission Cultural Center for Latino Arts,Cultural Center,"Provides art studio spaces, classes, galleries, and a theater focusing on Latino arts.","2868 Mission St, San Francisco, CA 94110",https://missionculturalcenter.org,Monday–Saturday 10 a.m.–5 p.m.,Varies by event,"Latino Arts, Cultural Events",Annual events like Día de los Muertos and mole sauce competition
culture sites,Yerba Buena Center for the Arts (YBCA),Art Center,"Multi-disciplinary contemporary arts center featuring visual art, performances, and films.","701 Mission St, San Francisco, CA 94103",https://ybca.org,Thursday–Sunday 12 p.m.–6 p.m.,Adults: $10; Seniors/Students/Teachers: $8; Youth under 24: Free,"Contemporary Art, Performances",Hosts the Bay Area Now triennial and various performances
culture sites,Calle 24 Latino Cultural District,Cultural District,"Vibrant area known for its rich Latino heritage, murals, and cultural events.","24th St between Mission St and Potrero Ave, San Francisco, CA 94110",https://www.calle24sf.org,Open 24/7,Free,"Latino Culture, Murals, Local Businesses",Events like Carnaval San Francisco and Día de los Muertos
culture sites,Luggage Store Gallery,Art Gallery,"Non-profit, multi-disciplinary arts organization supporting local artists and public art projects.","1007 Market St, San Francisco, CA 94103",https://www.luggagestoregallery.org,Wednesday–Saturday 12 p.m.–5 p.m.,Free,"Contemporary Art, Community Projects",Hosts exhibitions and manages the Tenderloin National Forest community space
culture sites,Alemany Farmers' Market,Market,"Known as 'The People's Market,' it's one of California's first farmers' markets, offering a wide range of fresh produce and local goods.","100 Alemany Blvd, San Francisco, CA 94110",https://sf.funcheap.com/city-guide/funcheaps-guide-farmers-markets/,"Saturdays, 7 a.m.–3 p.m.",Free,"Fresh Produce, Local Vendors",Occasional live music and community events
culture sites,Heart of the City Farmers' Market,Market,"An independent, farmer-operated market providing a platform for small farmers and supporting low-income communities with affordable produce.","Fulton Plaza near United Nations Plaza, San Francisco, CA 94102",https://sfstandard.com/2023/08/20/san-francisco-farmers-markets-guide/,"Wednesdays, 7 a.m.–5:30 p.m.; Sundays, 7 a.m.–5 p.m.",Free,"Affordable Produce, Community Focus",Nutrition education programs
culture sites,Noe Valley Farmers Market,Market,"A community-based, volunteer-run market offering organic produce, baked goods, and live music, fostering a neighborhood gathering space.","3861 24th St, San Francisco, CA 94114",https://secretsanfrancisco.com/sf-farmers-markets/,"Saturdays, 8 a.m.–1 p.m.",Free,"Organic Produce, Live Music",Weekly live music performances
culture sites,Castro Farmers' Market,Market,"A seasonal market featuring a variety of fresh produce, artisanal foods, and live entertainment in the heart of the Castro district.","288 Noe St, San Francisco, CA 94114",https://www.sfgate.com/local/article/farmers-market-san-francisco-18119152.php,"Wednesdays, 3 p.m.–7 p.m. (April through November)",Free,"Fresh Produce, Artisanal Foods",Live music and community gatherings
culture sites,Clement Street Farmers Market,Market,"A bustling market offering a diverse selection of fresh fruits, vegetables, baked goods, and international foods, reflecting the neighborhood's multicultural vibe.","244 Clement St, San Francisco, CA 94118",https://www.sfgate.com/local/article/farmers-market-san-francisco-18119152.php,"Sundays, 9 a.m.–2 p.m.",Free,"Diverse Cuisine, Fresh Produce",Occasional cultural performances
